 


  
  

NCAA Women's Soccer
Division IShutouts
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Shutouts"
"","Melody Mezzina","Western Caro.","Fr.","GK","5"
"","Teresa Morrissey","Rhode Island","Fr.","GK","5"
"","Courtney Ogren","Santa Clara","Sr.","GK","5"
"","Ashley Orkus","Ole Miss","So.","GK","5"
"","Cameron Perrott","Saint Joseph's","Sr.","GK","5"
"","Meaghan Phillips","Quinnipiac","Fr.","-","5"
"","Nikki Pittman","Weber St.","Sr.","GK","5"
"","Mary Parker Powell","Austin Peay","Sr.","-","5"
"","Maggie Rogers","Western Mich.","Jr.","-","5"
"","Siena Ruelas","Washington","Sr.","GK","5"
"","Paige Sim","Loyola Maryland","Fr.","GK","5"
"","Abby Stapleton","Charlotte","Jr.","-","5"
"","Kendal Stovall","Nevada","So.","GK","5"
"","Sara Teteak","Eastern Ill.","Sr.","GK","5"
"","Cassidy Wasdin","Fla. Atlantic","Fr.","-","5"
"","Grace Young","VCU","So.","GK","5"

NCAA Women's Soccer
Division IShot Accuracy
Through Games 12/08/2019

Min. 2 shots per game
       
"Rank","Name","Team","Cl","Pos","Games","SoG","ShAtt","Goals","Pct."
"1","Angela Caloia","Harvard","Fr.","F","16","34","46","6","0.739"
"2","Hailey Block","Southeast Mo. St.","Fr.","M","17","24","35","8","0.686"
"3","Nelia Perez","Radford","Sr.","-","20","37","55","13","0.673"
"4","Olivia McKnight","Binghamton","Fr.","M","18","24","36","6","0.667"
"5","Kelsey Turnbow","Santa Clara","Jr.","-","23","47","71","15","0.662"
"6","Kate Del Fava","Illinois St.","Sr.","-","20","35","53","17","0.660"
"7","Maria Pareja","George Washington","So.","-","21","29","44","6","0.659"
"8","Dakota Mills","Saint Joseph's","Sr.","F","19","25","38","4","0.658"
"9","Allie Thomas","Winthrop","Sr.","F","16","21","32","6","0.656"
"10","Beatriz Kretteis","Mississippi Val.","Fr.","M","13","19","29","7","0.655"
"11","Amanda West","Pittsburgh","Fr.","F","18","36","55","10","0.655"
"12","Gabby DelPico","Harvard","Fr.","M","16","22","34","7","0.647"
"","Jill Hildreth","UT Martin","So.","F","16","22","34","8","0.647"
"14","Clarissa Larisey","Memphis","Jr.","F","21","51","79","16","0.646"
"15","Esther Okoronkwo","Lamar University","Jr.","F","23","47","73","25","0.644"
"16","Sarah Sodoma","Arkansas St.","Jr.","F","20","39","61","9","0.639"
"17","Jamie Tatum","Wyoming","Fr.","-","19","34","54","6","0.630"
"18","Mia Fishel","UCLA","Fr.","M","24","44","70","14","0.629"
"19","Miciah Madison","San Francisco","Sr.","F","20","35","56","9","0.625"
"20","Kristin Hullibarger","Eastern Mich.","Sr.","-","22","29","47","7","0.617"
"21","Murphy Agnew","Harvard","Jr.","F","14","19","31","7","0.613"
"22","Gabrielle Farrell","Liberty","Sr.","-","19","49","80","10","0.613"
"23","Elizabeth Kooiman","Baylor","Fr.","-","18","22","36","4","0.611"
"24","Leilani Baker","New Mexico","Jr.","F","20","25","41","7","0.610"
"","Macy Miller","Butler","Sr.","-","19","25","41","5","0.610"
"26","Diana Ordonez","Virginia","Fr.","F","19","31","51","15","0.608"
"27","Kylee Kim-Bustillos","Sacramento St.","Jr.","F","19","26","43","9","0.605"
"28","Skylar Heinrich","Creighton","Fr.","F","18","32","53","11","0.604"
"29","Julianna Carter","Utah Valley","So.","F","21","27","45","6","0.600"
"","Jada Newton","Gardner-Webb","So.","F","19","24","40","7","0.600"
"","Rachel Sorkenn","George Washington","So.","-","21","39","65","11","0.600"
"32","Thalia Boucher","Howard","So.","M","18","28","47","8","0.596"
"","Liz Dumas","Fairfield","Jr.","F","20","28","47","7","0.596"
"34","Amber Tripp","Utah Valley","Jr.","M","21","25","42","8","0.595"
"35","Alexa Sabbagh","Oakland","So.","-","18","22","37","7","0.595"
"36","Evelyne Viens","South Fla.","Sr.","F","20","67","113","25","0.593"
"37","Jacqui Hand","Colorado Col.","So.","F","17","29","49","9","0.592"
"38","Makayla Rushing","Alabama A&M","Fr.","-","18","26","44","7","0.591"
"","Allie Winstanley","Dartmouth","Fr.","F","17","26","44","10","0.591"
"40","Lucy Ashworth","Lamar University","Jr.","F","23","69","117","21","0.590"
"41","Gabriela Johnson","Temple","So.","F","19","24","41","3","0.585"
"","Anna Watson","McNeese","Jr.","M","20","24","41","6","0.585"
"43","Sarah Stratigakis","Michigan","Jr.","M","24","31","53","7","0.585"
"44","Meg Brandt","Nebraska","Sr.","-","18","21","36","3","0.583"
"","Megan Greene","Charlotte","Sr.","-","19","35","60","10","0.583"
"46","Peyton DePriest","Middle Tenn.","Jr.","-","16","33","57","18","0.579"
"","Mimi Eiden","North Dakota","Jr.","F","19","22","38","8","0.579"
"48","Morgan Otteson","Western Mich.","So.","-","19","26","45","10","0.578"
"49","Abby Basler","Illinois St.","Jr.","-","17","20","35","4","0.571"
"","Jazmin Grant","Houston","Jr.","-","16","20","35","4","0.571"
"","Nicole Palmer","Morehead St.","So.","D","17","20","35","3","0.571"
"","Natalie Royaards","Winthrop","Sr.","F","16","20","35","6","0.571"
"","Alyssa Walker","Richmond","Jr.","-","17","20","35","11","0.571"
"54","Joelle Anderson","Pepperdine","Jr.","M","19","37","65","6","0.569"
"55","Melissa Kössler","Massachusetts","Fr.","-","16","33","58","11","0.569"
"56","Summer Yates","Washington","So.","F","21","29","51","8","0.569"
"57","Abby Jones","Murray St.","So.","-","17","25","44","6","0.568"
"58","Lily Fabian","UMass Lowell","So.","M","17","21","37","2","0.568"
"","Esmie Gonzales","Southeast Mo. St.","Sr.","-","17","21","37","4","0.568"
"60","Kiley Suter","Colorado Col.","So.","F","17","30","53","2","0.566"
"61","Alyssa Francese","Stony Brook","Jr.","F","21","26","46","12","0.565"
"","Fanny Gotesson","Stony Brook","Jr.","F","21","26","46","7","0.565"
"63","Alyssa McGhee","Saint Francis (PA)","Sr.","-","17","35","62","12","0.565"
"64","Michaela Didericksen","Idaho St.","Sr.","F","16","22","39","4","0.564"
"65","Evdokia Popadinova","FGCU","Sr.","F","17","31","55","11","0.564"
"66","Dani Rhodes","Wisconsin","Sr.","F","22","40","71","13","0.563"
"67","Gabi Hull","Winthrop","Sr.","M","16","23","41","6","0.561"
"68","Penelope Hocking","Southern California","So.","F","23","51","91","18","0.560"
"69","Samantha Jehnings","San Francisco","Sr.","M","20","28","50","11","0.560"
"70","Leah Pais","Albany (NY)","Fr.","F","14","19","34","5","0.559"
"71","Nikki Cox","Bowling Green","Jr.","F","23","43","77","9","0.558"
"72","Grace Labadie","Western Mich.","Sr.","-","18","20","36","2","0.556"
"","Mackenzie Litzsinger","SIUE","Jr.","-","19","35","63","13","0.556"
"","Kaila Lozada","Hartford","Sr.","F","18","20","36","3","0.556"
"","Emma Main","UIC","So.","-","17","20","36","5","0.556"
"","Allie Thornton","SMU","Sr.","F","20","30","54","13","0.556"
"77","Thais Reiss","North Florida","Jr.","-","19","37","67","12","0.552"
"78","Briana Morris","South Alabama","Sr.","F","22","32","58","15","0.552"
"79","Autumn Woodard","Louisiana Tech","So.","F","19","27","49","17","0.551"
"80","Isabella Beortegui","Alabama St.","Fr.","M","20","22","40","6","0.550"
"","Jessica Carrieri","Elon","Fr.","-","20","22","40","9","0.550"
"","Samantha Dewey","Xavier","Sr.","-","23","44","80","13","0.550"
"83","Ashley Sanchez","UCLA","Jr.","F","24","40","73","7","0.548"
"84","Reagan Glisson","Georgia","Jr.","-","19","23","42","4","0.548"
"85","Zsani Kajan","St. John's (NY)","Jr.","-","17","29","53","11","0.547"
"86","Dakota Fiedler","Charleston So.","So.","-","19","24","44","6","0.545"
"","India Jencks","Gonzaga","Sr.","M","19","24","44","3","0.545"
"","Kailey Pena","Grambling","So.","-","21","24","44","6","0.545"
"89","Victoria Colatosti","Marist","So.","F","19","31","57","7","0.544"
"90","Elise Flake","BYU","Sr.","F","23","44","81","20","0.543"
"91","Kristen Noonan","Colorado St.","So.","F","17","19","35","6","0.543"
"92","Nneka Moneme","Rutgers","Jr.","F","21","26","48","11","0.542"
"93","Alexa Genas","Campbell","Sr.","F","19","49","91","14","0.538"
"","Karly Hellstrom","Kent St.","So.","-","18","21","39","5","0.538"
"95","Liz Lane","New Hampshire","Sr.","-","18","22","41","2","0.537"
"96","Christina Arteaga","Abilene Christian","Jr.","F","19","46","86","12","0.535"
"","Rosie O'Neal","Campbell","Sr.","F","19","23","43","7","0.535"
"98","Tara McKeown","Southern California","Jr.","F","21","48","90","15","0.533"
"","Amanda Spitaleri","Bryant","Jr.","-","15","16","30","3","0.533"
"100","Ashley Cardozo","Utah St.","Jr.","-","18","25","47","1","0.532"
"","Cameron Tucker","BYU","Jr.","F","23","25","47","12","0.532"
"","Kayla Wisniewski","Purdue Fort Wayne","So.","F","18","25","47","2","0.532"
"103","Hailey Pohevitz","Southern Miss.","Jr.","F","18","28","53","8","0.528"
"104","Ally Reynolds","New Hampshire","Sr.","-","18","19","36","9","0.528"
"105","Maci Bower","La Salle","Sr.","-","20","29","55","10","0.527"
"","Carlee Giammona","Alabama","Fr.","M","20","29","55","3","0.527"
"107","Cynthia Bagozzi","Jacksonville St.","Fr.","F","18","20","38","7","0.526"
"108","Krista Kissell","Lafayette","Jr.","-","18","21","40","4","0.525"
"109","Anja Savich","Butler","So.","-","19","32","61","8","0.525"
"110","Sarah Connolly","ETSU","Jr.","F","19","22","42","6","0.524"
"","Anyssa Ibrahim","George Washington","Jr.","-","21","22","42","2","0.524"
"","Arianna Montefusco","Manhattan","Jr.","-","17","22","42","8","0.524"
"","Kendall Powell","Tennessee Tech","Jr.","F","18","22","42","7","0.524"
"","Lindsey Prokop","UMKC","Fr.","F","19","22","42","8","0.524"
"","Brooklynn Rivers","Louisville","Sr.","F","19","22","42","5","0.524"
"116","Morgan Turner","DePaul","Jr.","F","19","23","44","10","0.523"
"117","Abby Townsend","Ohio","So.","F","21","35","67","5","0.522"
"118","Becky Contreras","Kennesaw St.","Fr.","-","20","36","69","6","0.522"
"","Deena DeBaldo","Duquesne","Jr.","M","17","24","46","9","0.522"
"","Olivia Doak","Lipscomb","Sr.","-","21","36","69","10","0.522"
"","Mackenzie Schill","Milwaukee","Jr.","F","20","24","46","7","0.522"
"122","Lucy Porter","Hofstra","Jr.","M","21","37","71","16","0.521"
"123","Meghan McCool","Virginia","Sr.","F","22","38","73","15","0.521"
"124","Atlanta Primus","Cal St. Fullerton","Sr.","M","21","26","50","12","0.520"
"125","Tziarra King","NC State","Sr.","M","22","43","83","13","0.518"
"126","Vital Kats","Kent St.","Jr.","-","18","47","91","8","0.516"
"127","Marcy Barberic","Buffalo","Jr.","M","20","32","62","6","0.516"
"","Alysa Vazquez","American","Fr.","M","15","16","31","2","0.516"
"129","Mary O'Hara","Fla. Atlantic","Sr.","-","21","36","70","11","0.514"
"130","Sarah DeWolf","Eastern Ill.","Sr.","F","18","19","37","4","0.514"
"","Dora Hayes","Binghamton","Jr.","-","18","19","37","4","0.514"
"","Sophia Smith","Stanford","So.","-","21","57","111","17","0.514"
"133","Jewel Boland","SMU","Jr.","F","19","21","41","6","0.512"
"","Paige Maling","Northern Ariz.","Jr.","-","18","21","41","5","0.512"
"135","Ariel Diaz","Southern Miss.","Jr.","F","18","22","43","7","0.512"
"","Maya Lacognato","IUPUI","Fr.","F","20","22","43","6","0.512"
"","Landy  Mertz","Dayton","Fr.","M","19","22","43","3","0.512"
"","Miyah Watford","Murray St.","Sr.","-","19","44","86","15","0.512"
"139","Kelsey Araujo","Niagara","Jr.","-","19","25","49","6","0.510"
"","Sami Feller","Denver","So.","F","20","25","49","8","0.510"
"141","Jalen Donaldson","Northwestern St.","So.","F","22","26","51","4","0.510"
"142","Devin Burns","Iowa","Sr.","-","21","27","53","6","0.509"
"","Katie  Soderstrom","Butler","So.","-","19","27","53","8","0.509"
"144","Carly Malatskey","Stanford","Sr.","-","24","30","59","10","0.508"
"145","Elyse Huber","North Dakota St.","Sr.","F","17","40","79","11","0.506"
"146","Makena Bambei","Idaho St.","Sr.","M","18","25","50","3","0.500"
"","Zoe Clarke","Western Ill.","So.","D","17","22","44","2","0.500"
"","Lauren Currey","Drexel","So.","F","17","17","34","4","0.500"
"","Lauren DeBeau","Central Mich.","Fr.","-","17","26","52","4","0.500"
"","Brooke Hanson","Incarnate Word","Sr.","F","18","20","40","5","0.500"
"","Jordyne Helinski","Wright St.","Sr.","-","16","33","66","6","0.500"
"","Sophie Hirst","Harvard","So.","M","16","17","34","5","0.500"
"","Haley Hopkins","Vanderbilt","Jr.","F","21","37","74","13","0.500"
"","Mariana Jaleca","Saint Francis (PA)","Sr.","-","17","18","36","3","0.500"
"","Natalie Jones","Abilene Christian","Fr.","M","17","20","40","7","0.500"
"","Bailey Korhorn","Western Mich.","Jr.","F","19","22","44","6","0.500"
"","Haley Kostyshyn","Rice","Sr.","-","19","19","38","7","0.500"
"","Catarina Macario","Stanford","Jr.","-","25","79","158","32","0.500"
"","Riley Mattingly","Alabama","So.","F","20","24","48","5","0.500"
"","Alivia Milesky","Ohio","Sr.","M","21","27","54","10","0.500"
"","Gabi Paupst","Radford","Jr.","-","20","29","58","9","0.500"
"","Sofia Pavon","George Washington","Sr.","-","19","26","52","6","0.500"
"","Lexi Romero","Air Force","Fr.","F","17","28","56","14","0.500"
"","Alessia Russo","North Carolina","Jr.","-","24","42","84","13","0.500"
"","Emily Sands","Penn","Sr.","F","16","22","44","4","0.500"
"","Jada Talley","Arizona","Jr.","-","20","23","46","10","0.500"
"","MA Vignola","Tennessee","Sr.","F","18","29","58","9","0.500"
"","Casey Wertz","Alabama","Jr.","F","20","26","52","6","0.500"
"","Kaylan Williams","New Hampshire","Sr.","-","18","24","48","6","0.500"
Reclassifying
"NR","Shelby Wall","North Ala.","Sr.","-","17","38","70","15","0.543"

NCAA Women's Soccer
Division IPoints Per Game
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"1","Catarina Macario","Stanford","Jr.","-","25","32","23","87","3.48"
"2","Evelyne Viens","South Fla.","Sr.","F","20","25","3","53","2.65"
"3","Esther Okoronkwo","Lamar University","Jr.","F","23","25","10","60","2.61"
"4","Lucy Ashworth","Lamar University","Jr.","F","23","21","17","59","2.57"
"5","Peyton DePriest","Middle Tenn.","Jr.","-","16","18","2","38","2.38"
"6","Shaelan Murison","UC Santa Barbara","Sr.","-","19","17","7","41","2.16"
"7","Autumn Woodard","Louisiana Tech","So.","F","19","17","5","39","2.05"
"8","Sophia Smith","Stanford","So.","-","21","17","9","43","2.05"
"9","Elise Flake","BYU","Sr.","F","23","20","7","47","2.04"
"10","Alexa Genas","Campbell","Sr.","F","19","14","10","38","2.00"
"11","Kate Del Fava","Illinois St.","Sr.","-","20","17","5","39","1.95"
"","Ally Watt","Texas A&M","Sr.","F","20","16","7","39","1.95"
"13","Lexi Romero","Air Force","Fr.","F","17","14","5","33","1.94"
"14","Lucy Porter","Hofstra","Jr.","M","21","16","8","40","1.90"
"15","Penelope Hocking","Southern California","So.","F","23","18","7","43","1.87"
"16","Miyah Watford","Murray St.","Sr.","-","19","15","5","35","1.84"
"17","Melissa Kössler","Massachusetts","Fr.","-","16","11","7","29","1.81"
"18","Tara McKeown","Southern California","Jr.","F","21","15","8","38","1.81"
"19","Diana Ordonez","Virginia","Fr.","F","19","15","4","34","1.79"
"20","Kirsten Davis","Texas Tech","Jr.","-","22","16","7","39","1.77"
"21","Atlanta Primus","Cal St. Fullerton","Sr.","M","21","12","13","37","1.76"
"22","Kelsey Turnbow","Santa Clara","Jr.","-","23","15","10","40","1.74"
"23","Katie McClure","Kansas","Sr.","F","25","17","9","43","1.72"
"24","Clarissa Larisey","Memphis","Jr.","F","21","16","4","36","1.71"
"25","Mikayla Colohan","BYU","Jr.","M","23","16","7","39","1.70"
"","Raimee Sherle","Boise St.","Sr.","-","23","16","7","39","1.70"
"27","Katie Lockwood","Campbell","Sr.","M","16","9","8","26","1.63"
"28","Shawna Zaken","Northern Ky.","Sr.","M","18","13","3","29","1.61"
"29","Nelia Perez","Radford","Sr.","-","20","13","6","32","1.60"
"30","Christina Arteaga","Abilene Christian","Jr.","F","19","12","6","30","1.58"
"","Thais Reiss","North Florida","Jr.","-","19","12","6","30","1.58"
"32","Murphy Agnew","Harvard","Jr.","F","14","7","8","22","1.57"
"","Jimena Lopez","Texas A&M","Jr.","M","21","9","15","33","1.57"
"34","Alyssa McGhee","Saint Francis (PA)","Sr.","-","17","12","2","26","1.53"
"35","Mackenzie Litzsinger","SIUE","Jr.","-","19","13","3","29","1.53"
"36","Sabrina Bryan","Hofstra","Jr.","F","21","11","10","32","1.52"
"37","Deyna Castellanos","Florida St.","Sr.","-","23","12","11","35","1.52"
"","Anna Podojil","Arkansas","Fr.","-","23","14","7","35","1.52"
"39","Madison Haley","Stanford","Jr.","-","24","11","14","36","1.50"
"","Meghan McCool","Virginia","Sr.","F","22","15","3","33","1.50"
"41","Izzy D'Aquila","Santa Clara","Fr.","M","23","15","4","34","1.48"
"42","Maddie Bennett","Cal St. Fullerton","Sr.","F","21","12","7","31","1.48"
"43","Keeley Ayala","Incarnate Word","So.","F","19","13","2","28","1.47"
"44","Alyssa Walker","Richmond","Jr.","-","17","11","3","25","1.47"
"","Allie Winstanley","Dartmouth","Fr.","F","17","10","5","25","1.47"
"46","Morgan Weaver","Washington St.","Sr.","F","24","15","5","35","1.46"
"47","Tziarra King","NC State","Sr.","M","22","13","6","32","1.45"
"48","Allie Thornton","SMU","Sr.","F","20","13","3","29","1.45"
"49","Amanda West","Pittsburgh","Fr.","F","18","10","6","26","1.44"
"50","Angela Caloia","Harvard","Fr.","F","16","6","11","23","1.44"
"51","Cameron Tucker","BYU","Jr.","F","23","12","9","33","1.43"
"52","Rylan Childers","UMKC","So.","M","21","10","10","30","1.43"
"","Haley Hopkins","Vanderbilt","Jr.","F","21","13","4","30","1.43"
"54","Julia Grosso","Texas","So.","-","17","8","8","24","1.41"
"","Elyse Huber","North Dakota St.","Sr.","F","17","11","2","24","1.41"
"","Evdokia Popadinova","FGCU","Sr.","F","17","11","2","24","1.41"
"57","Berklee Peters","North Texas","Jr.","F","22","14","3","31","1.41"
"58","Miciah Madison","San Francisco","Sr.","F","20","9","10","28","1.40"
"","Jada Talley","Arizona","Jr.","-","20","10","8","28","1.40"
